id@ Name_Surname@ Nickname@ Birth_Date@ id_Assistant
1@ Belfegor Rokudo@ wopx@ 1984-9-25
56@ Tsunaeshi Haruno@ vgkrnum@ 1977-9-17@ 55
57@ Fran Suberbia@ fyk@ 1999-6-14@ 56
58@ Xanxas Stein@ xlh@ 1995-9-2@ 57
59@ Ponio Uchiha@ silboe@ 1982-9-2@ 58
60@ Soul Udzumaki@ skb@ 1980-11-25@ 59
61@ Skualo Sawada@ bbug@ 1972-9-21@ 60
62@ Belfegor Sawada@ hldif@ 1996-8-2@ 61
63@ Ponio Rokudo@ xvajupk@ 1996-6-2@ 62
64@ Belfegor Sawada@ uody@ 1993-7-16@ 63
65@ Soul Suberbia@ xniutcz@ 1989-3-9@ 64
66@ Fran Aron@ llcgocg@ 1975-6-14@ 65
67@ Skualo Stein@ bjdri@ 1981-5-17@ 66
68@ Xanxas Sawada@ pgu@ 1971-3-3@ 67
69@ Kioko Haruno@ myqltju@ 1980-9-22@ 68
70@ Yuki Albarn@ axlh@ 1992-4-13@ 69
71@ Belfegor Aron@ vnzz@ 1978-7-6@ 70
72@ Yui Aron@ vibpbp@ 1987-7-9@ 71
73@ Soul Albarn@ nzrrlfe@ 1982-2-12@ 72
74@ Soul Haruno@ gsut@ 1971-12-25@ 73
75@ Ponio Udzumaki@ dokajhy@ 1973-1-1@ 74
76@ Yuki Aron@ ovc@ 1975-1-13@ 75
77@ Maka Uchiha@ lcahre@ 1977-1-11@ 76
78@ Mukuro Haruno@ zvioac@ 1983-7-9@ 77
79@ Kioko Albarn@ nlui@ 1979-5-13@ 78
80@ Skualo Aron@ qrmyget@ 1993-9-1@ 79
81@ Yui Udzumaki@ alsnol@ 1983-1-21@ 80
82@ Mai Haruno@ ipltdpvy@ 1984-12-14@ 81
83@ Fran Death@ kkpgh@ 1972-11-19@ 82
84@ Kioko Kavallini@ bykggcvv@ 1980-10-28@ 83
85@ Tsunaeshi Udzumaki@ bgdsz@ 1996-1-7@ 84
86@ Fran Haruno@ dzexwaj@ 1975-7-11@ 85
87@ Mukuro Udzumaki@ kkmq@ 1970-6-5@ 86
88@ Yuki Stein@ ywlkcox@ 1979-3-27@ 87
89@ Yuki Rokudo@ onm@ 1996-9-27@ 88
90@ Mai Stein@ bfvg@ 1973-4-21@ 89
91@ Mukuro Haruno@ xhn@ 1983-4-4@ 90
92@ Xanxas Kavallini@ enpl@ 1975-10-9@ 91
93@ Mai Albarn@ qckk@ 1993-11-7@ 92
94@ Mukuro Uchiha@ tigoxm@ 1990-2-10@ 93
95@ Fran Kavallini@ fjxjzmy@ 1981-3-28@ 94
96@ Yui Rokudo@ rtjijzm@ 1984-3-26@ 95
97@ Mukuro Death@ buapacg@ 1994-1-6@ 96
98@ Maka Uchiha@ ouzdhrg@ 1991-1-17@ 97
99@ Xanxas Sawada@ tgvfsd@ 1998-2-7@ 98
100@ Tsunaeshi Uchiha@ zrekmjtc@ 1982-4-26@ 99
