id@ Name_Surname@ Nickname@ Birth_Date@ id_Assistant
1@ Mukuro Kavallini@ vaabbc@ 1992-7-10
51@ Mai Stein@ nrapjik@ 1986-5-16@ 50
52@ Tsunaeshi Sawada@ bnenvs@ 1980-9-21@ 51
53@ Yui Uchiha@ rfuvo@ 1993-8-6@ 52
54@ Ponio Rokudo@ gcidath@ 1970-11-20@ 53
55@ Kioko Death@ xibslp@ 1979-11-20@ 54
56@ Maka Aron@ qazdqq@ 1979-9-27@ 55
57@ Tsunaeshi Rokudo@ wsxab@ 1973-8-19@ 56
58@ Soul Haruno@ ejjht@ 1978-2-20@ 57
59@ Soul Kavallini@ ankrwi@ 1981-2-17@ 58
60@ Tsunaeshi Suberbia@ nvz@ 1987-11-10@ 59
61@ Yui Stein@ lavm@ 1972-8-13@ 60
62@ Yui Sawada@ ucfhb@ 1996-7-2@ 61
63@ Mai Aron@ cnlp@ 1989-7-27@ 62
64@ Belfegor Rokudo@ apgdp@ 1998-2-12@ 63
65@ Ponio Rokudo@ bfrohdqo@ 1972-12-17@ 64
66@ Mai Albarn@ picpn@ 1973-3-13@ 65
67@ Xanxas Death@ gpe@ 1989-2-15@ 66
68@ Tsunaeshi Haruno@ sgo@ 1992-3-10@ 67
69@ Mukuro Sawada@ fezub@ 1990-4-24@ 68
70@ Mai Aron@ ywz@ 1994-10-11@ 69
71@ Belfegor Kavallini@ hanbwkl@ 1992-5-27@ 70
72@ Yui Udzumaki@ etf@ 1976-6-3@ 71
73@ Yui Aron@ sngwbql@ 1985-6-23@ 72
74@ Yui Rokudo@ yfsxt@ 1997-4-18@ 73
75@ Skualo Udzumaki@ pwbupzqf@ 1996-6-19@ 74
76@ Xanxas Sawada@ hotabj@ 1977-7-3@ 75
77@ Mai Death@ pcptbv@ 1999-12-21@ 76
78@ Kioko Death@ yheaeqb@ 1991-4-22@ 77
79@ Fran Stein@ erpuzt@ 1970-1-10@ 78
80@ Tsunaeshi Sawada@ krere@ 1993-12-7@ 79
81@ Yuki Sawada@ kripmnpv@ 1975-7-27@ 80
82@ Xanxas Sawada@ cza@ 1977-8-12@ 81
83@ Skualo Udzumaki@ nxr@ 1981-11-19@ 82
84@ Soul Albarn@ amrrsv@ 1970-6-4@ 83
85@ Yui Kavallini@ cmejfjwi@ 1978-1-20@ 84
86@ Tsunaeshi Stein@ xbts@ 1988-5-1@ 85
87@ Maka Death@ qlcfc@ 1984-12-9@ 86
88@ Xanxas Stein@ kfreh@ 1972-12-27@ 87
89@ Ponio Sawada@ umnmwiir@ 1979-8-27@ 88
90@ Mai Albarn@ pzuknkq@ 1980-1-14@ 89
91@ Mukuro Albarn@ uthyoc@ 1984-10-20@ 90
92@ Mai Rokudo@ skjx@ 1992-4-1@ 91
93@ Skualo Rokudo@ ybbli@ 1980-8-28@ 92
94@ Mukuro Albarn@ zzyhwoa@ 2000-1-10@ 93
95@ Mai Suberbia@ dyj@ 1976-12-8@ 94
96@ Ponio Uchiha@ cosagg@ 1989-9-19@ 95
97@ Tsunaeshi Death@ pohhv@ 1999-6-6@ 96
98@ Soul Albarn@ pybug@ 1979-6-19@ 97
99@ Kioko Aron@ icfper@ 1993-1-19@ 98
100@ Mukuro Death@ jycksd@ 1986-9-21@ 99
