id@ Name_Surname@ Nickname@ Birth_Date@ id_Assistant
1@ Soul Suberbia@ puoj@ 1984-4-11
57@ Xanxas Death@ gregvtkt@ 1990-1-25@ 56
58@ Yui Udzumaki@ apvhbcc@ 1978-9-18@ 57
59@ Belfegor Rokudo@ ivg@ 1999-4-13@ 58
60@ Yui Suberbia@ kqe@ 1982-12-24@ 59
61@ Kioko Aron@ nup@ 1989-3-19@ 60
62@ Maka Suberbia@ cluo@ 1989-4-22@ 61
63@ Yui Udzumaki@ vvapgt@ 1984-11-13@ 62
64@ Yui Uchiha@ rwuopyq@ 1999-11-17@ 63
65@ Fran Suberbia@ cbexac@ 1980-6-7@ 64
66@ Yuki Udzumaki@ gonle@ 1992-9-17@ 65
67@ Skualo Rokudo@ ypfh@ 1993-10-11@ 66
68@ Kioko Rokudo@ kbv@ 1994-4-27@ 67
69@ Mukuro Death@ avsscll@ 1993-9-28@ 68
70@ Maka Udzumaki@ sryj@ 1974-2-6@ 69
71@ Soul Albarn@ tzqbxw@ 1989-6-15@ 70
72@ Maka Suberbia@ qygwawpr@ 1994-11-26@ 71
73@ Fran Suberbia@ yygpu@ 1995-7-20@ 72
74@ Skualo Sawada@ ulzmu@ 1971-5-20@ 73
75@ Skualo Albarn@ lrtobtd@ 1994-12-19@ 74
76@ Belfegor Albarn@ oghyy@ 1995-4-8@ 75
77@ Kioko Stein@ hscngcuz@ 1987-11-1@ 76
78@ Mai Sawada@ lsvtbiyq@ 1976-6-24@ 77
79@ Xanxas Death@ ubke@ 1986-11-21@ 78
80@ Ponio Albarn@ swdw@ 1989-10-11@ 79
81@ Mai Rokudo@ piyiuza@ 1985-9-16@ 80
82@ Maka Stein@ dlxp@ 1971-11-25@ 81
83@ Kioko Kavallini@ hipdp@ 1996-1-27@ 82
84@ Belfegor Sawada@ qqyyfl@ 1994-9-3@ 83
85@ Soul Suberbia@ kzrb@ 1999-11-26@ 84
86@ Soul Haruno@ wnkwp@ 1970-1-5@ 85
87@ Skualo Stein@ kdboacas@ 1986-5-28@ 86
88@ Maka Death@ cfjgmxp@ 1977-6-2@ 87
89@ Tsunaeshi Suberbia@ tam@ 1998-3-10@ 88
90@ Yuki Aron@ ienjkze@ 1977-9-17@ 89
91@ Yuki Albarn@ roerbe@ 1972-6-24@ 90
92@ Maka Kavallini@ hqtqz@ 1999-9-25@ 91
93@ Maka Albarn@ itz@ 2000-9-10@ 92
94@ Soul Albarn@ ygjtj@ 1970-3-12@ 93
95@ Yuki Sawada@ sfmn@ 1974-9-28@ 94
96@ Kioko Rokudo@ las@ 1981-2-7@ 95
97@ Mukuro Suberbia@ hznptw@ 1976-2-6@ 96
98@ Tsunaeshi Aron@ erm@ 1992-11-4@ 97
99@ Fran Aron@ dmmnwvk@ 1992-6-25@ 98
100@ Ponio Stein@ bzxw@ 1997-3-27@ 99
